期刊名称,预警年份,预警来源
JOURNAL OF CLINICAL MEDICINE,2020；2024,中科院预警
JOURNAL OF ENVIRONMENTAL AND PUBLIC HEALTH,2023,中科院预警
JOURNAL OF INDUSTRIAL AND MANAGEMENT OPTIMIZATION,2023,中科院预警
JOURNAL OF INEQUALITIES AND APPLICATIONS,2020,中科院预警
JOURNAL OF INTERNATIONAL MEDICAL RESEARCH,2020；2021,中科院预警
Journal of Mathematics,2021,中科院预警
JOURNAL OF NANOELECTRONICS AND OPTOELECTRONICS,2024,中科院预警
JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY,2020,中科院预警
Journal of Personalized Medicine,2021；2024,中科院预警
JOURNAL OF SENSORS,2024,中科院预警
JOURNAL OF STRUCTURAL CHEMISTRY,2023,中科院预警
LIFE SCIENCES,2020,中科院预警
Life-Basel,2021,中科院预警
MACHINES,2023,中科院预警
Materials,2020,中科院预警
MATERIALS EXPRESS,2024,中科院预警
MATHEMATICAL BIOSCIENCES AND ENGINEERING,2024,中科院预警
MATHEMATICAL PROBLEMS IN ENGINEERING,2020；2023,中科院预警
Mathematics,2020,中科院预警
MEDICAL SCIENCE MONITOR,2020；2021,中科院预警
MEDICINE,2020,中科院预警
Metals,2020,中科院预警
Microprocessors and Microsystems,2021；2023,中科院预警
Minerals,2020,中科院预警
Mitochondrial DNA Part B-Resources,2021,中科院预警
MOBILE INFORMATION SYSTEMS,2023,中科院预警
Molecular Medicine Reports,2020；2021,中科院预警
Molecular Therapy-Nucleic Acids,2021,中科院预警
MOLECULES,2020,中科院预警
MULTIMEDIA TOOLS AND APPLICATIONS,2024,中科院预警
NATURAL PRODUCT RESEARCH,2020,中科院预警
Natural Resources Forum,2025,中科院预警
NUMERICAL HEAT TRANSFER PART A-APPLICATIONS,2025,中科院预警
Oncology Letters,2020,中科院预警
ONCOLOGY REPORTS,2020,中科院预警
ONCOLOGY RESEARCH,2020,中科院预警
OncoTargets and Therapy,2020；2021,中科院预警
Pharmazie,2021；2023,中科院预警
Plants-Basel,2020,中科院预警
Polymers,2020,中科院预警
Processes,2020,中科院预警
PSYCHIATRIA DANUBINA,2023；2024,中科院预警
RADIOLOGIA MEDICA,2024,中科院预警
SCALABLE COMPUTING-PRACTICE AND EXPERIENCE,2025,中科院预警
SCIENCE OF ADVANCED MATERIALS,2024,中科院预警
Scientific Programming,2021,中科院预警
SENSORS,2020,中科院预警
Shock and Vibration,2021,中科院预警
Sustainability,2020,中科院预警
Symmetry-Basel,2020,中科院预警
TEXTILE RESEARCH JOURNAL,2023,中科院预警
TROPICAL JOURNAL OF PHARMACEUTICAL RESEARCH,2024,中科院预警
Vaccines,2021,中科院预警
Water,2020,中科院预警
Wireless Personal Communications,2025,中科院预警
World Journal of Clinical Cases,2021；2023,中科院预警
ZEITSCHRIFT FUR KRISTALLOGRAPHIE-NEW CRYSTAL STRUCTURES,2020,中科院预警
